Category,Metric,Team A (BiasedMF),Team B (GraphSAGE)
Prediction,RMSE (availability),0.3267342150211334,0.09236487001180649
Prediction,MAE (availability),0.18822699785232544,0.07324390113353729
Prediction,RMSE (latency),529.455322265625,632.0682983398438
Prediction,MAE (latency),257.6280212402344,263.8559875488281
Prediction,RMSE (reliability),0.32321253418922424,0.10894415527582169
Prediction,MAE (reliability),0.1875327229499817,0.08864062279462814
Prediction,RMSE (response_time),1.7901195287704468,1.9300941228866577
Prediction,MAE (response_time),0.8733486533164978,0.9637144804000854
Prediction,RMSE (throughput),105.3586196899414,120.22053527832031
Prediction,MAE (throughput),50.4361572265625,46.751319885253906
Recommendation,Precision@5,0.27964601769911507,0.2549019607843137
Recommendation,Recall@5,0.12454610406848825,0.006659324098309009
Recommendation,NDCG@5,0.8757231774340563,0.6518046809842547
Recommendation,Precision@10,0.23952802359882006,0.3493464052287582
Recommendation,Recall@10,0.2130641682242411,0.01815379178653938
Recommendation,NDCG@10,0.8920178584017241,0.6906783653034279
Recommendation,Precision@20,0.20766961651917407,0.43823529411764706
Recommendation,Recall@20,0.3689401056267272,0.04538018504075797
Recommendation,NDCG@20,0.9065120278972661,0.744692973808372
Economic,Average Recommended Cost ($),0.540336047122681,0.15749679746873238
Economic,Cost Savings (%),0.0,70.85206543087187
Economic,Cost-Performance Ratio,,3.034069246035735
